@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@data
110.0,87,2672,17.5,70,25.0
89.0,71,1990,14.9,78,31.5
121.0,98,2945,14.5,75,22.0
156.0,105,2745,16.7,78,23.2
91.0,67,1965,15.7,82,32.0
98.0,83,2219,16.5,74,29.0
134.0,90,2711,15.5,80,29.8
351.0,148,4657,13.5,75,14.0
122.0,88,2500,15.1,80,35.0
122.0,86,2220,14.0,71,23.0
146.0,120,2930,13.8,81,24.2
89.0,71,1925,14.0,79,31.9
98.0,80,2164,15.0,72,28.0
79.0,67,1950,19.0,74,31.0
97.0,52,2130,24.6,82,44.0
250.0,105,3353,14.5,76,22.0
97.0,67,2065,17.8,81,32.3
98.0,80,1915,14.4,79,35.7
302.0,139,3205,11.2,78,18.1
400.0,175,4385,12.0,72,14.0
145.0,76,3160,19.6,81,30.7
70.0,97,2330,13.5,72,19.0
98.0,65,2380,20.7,81,29.9
199.0,97,2774,15.5,70,18.0
400.0,150,3761,9.5,70,15.0
163.0,133,3410,15.8,78,16.2
98.0,63,2051,17.0,77,30.5
107.0,90,2430,14.5,70,24.0
105.0,70,2200,13.2,79,34.2
318.0,150,4190,13.0,76,16.0
140.0,90,2264,15.5,71,28.0
120.0,75,2542,17.5,80,31.3
200.0,85,2965,15.8,78,20.2
168.0,132,2910,11.4,80,32.7
79.0,58,1755,16.9,81,39.1
232.0,90,3265,18.2,79,20.2
120.0,74,2635,18.3,81,31.6
360.0,150,3940,13.0,79,18.5
98.0,60,2164,22.1,76,24.5
98.0,68,2045,18.5,77,31.5
121.0,110,2660,14.0,73,24.0
91.0,68,1985,16.0,81,34.1
122.0,85,2310,18.5,73,19.0
455.0,225,4951,11.0,73,12.0
231.0,105,3425,16.9,77,20.5
119.0,97,2545,17.0,75,24.0
119.0,97,2405,14.9,78,23.9
304.0,150,3672,11.5,73,14.0
163.0,125,3140,13.6,78,17.0
97.0,71,1825,12.2,76,29.5
198.0,95,2904,16.0,73,23.0
97.0,88,2100,16.5,72,27.0
305.0,145,3425,13.2,78,19.2
400.0,175,5140,12.0,71,13.0
250.0,105,3459,16.0,75,18.0
250.0,98,3525,19.0,77,18.5
181.0,110,2945,16.4,82,25.0
120.0,97,2506,14.5,72,23.0
97.5,80,2126,17.0,72,25.0
351.0,158,4363,13.0,73,13.0
350.0,145,4440,14.0,75,15.0
225.0,110,3620,18.7,78,18.6
429.0,208,4633,11.0,72,11.0
86.0,64,1875,16.4,81,39.0
131.0,103,2830,15.9,78,20.3
141.0,71,3190,24.8,79,27.2
108.0,75,2265,15.2,80,32.2
140.0,90,2408,19.5,72,20.0
351.0,153,4154,13.5,71,14.0
96.0,69,2189,18.0,72,26.0
250.0,100,3282,15.0,71,19.0
98.0,79,2255,17.7,76,26.0
119.0,100,2615,14.8,81,32.9
97.0,46,1835,20.5,70,26.0
120.0,88,3270,21.9,76,19.0
173.0,110,2725,12.6,81,23.5
91.0,68,1970,17.6,82,31.0
225.0,85,3465,16.6,81,17.6
134.0,95,2560,14.2,78,27.5
302.0,140,4141,14.0,74,16.0
122.0,86,2395,16.0,72,22.0
350.0,160,4456,13.5,72,12.0
120.0,88,2160,14.5,82,36.0
232.0,112,2835,14.7,82,22.0
108.0,70,2245,16.9,82,34.0
119.0,82,2720,19.4,82,31.0
250.0,100,3278,18.0,73,16.0
98.0,68,2155,16.5,78,30.0
198.0,95,2833,15.5,70,22.0
119.0,97,2300,14.7,78,27.2
97.0,78,2300,14.5,74,26.0
440.0,215,4735,11.0,73,13.0
144.0,96,2665,13.9,82,32.0
98.0,90,2265,15.5,73,26.0
97.0,75,2265,18.2,77,26.0
429.0,198,4952,11.5,73,12.0
318.0,150,4237,14.5,73,14.0
76.0,52,1649,16.5,74,31.0
90.0,48,1985,21.5,78,43.1
83.0,61,2003,19.0,74,32.0
97.0,75,2171,16.0,75,29.0
171.0,97,2984,14.5,75,18.0
304.0,150,3672,11.5,72,17.0
250.0,72,3158,19.5,75,15.0
400.0,170,4746,12.0,71,13.0
120.0,97,2489,15.0,74,24.0
135.0,84,2370,13.0,82,36.0
89.0,60,1968,18.8,80,38.1
119.0,92,2434,15.0,80,37.0
351.0,152,4215,12.8,76,14.5
318.0,210,4382,13.5,70,11.0
135.0,84,2490,15.7,81,27.2
231.0,110,3039,15.0,75,21.0
200.0,88,3060,17.1,81,20.2
183.0,77,3530,20.1,79,25.4
151.0,90,2735,18.0,82,27.0
91.0,68,2025,18.2,82,37.0
107.0,86,2464,15.5,76,28.0
135.0,84,2295,11.6,82,32.0
108.0,75,2350,16.8,81,32.4
105.0,74,2190,14.2,81,33.0
262.0,85,3015,17.0,82,38.0
71.0,65,1773,19.0,71,31.0
85.0,52,2035,22.2,76,29.0
232.0,100,2914,16.0,75,20.0
98.0,70,2120,15.5,80,32.1
225.0,110,3360,16.6,79,20.6
105.0,63,2215,14.9,81,34.7
140.0,92,2865,16.4,82,24.0
108.0,93,2391,15.5,74,26.0
116.0,81,2220,16.9,76,25.0
225.0,95,3264,16.0,75,19.0
302.0,140,3449,10.5,70,17.0
97.0,88,2279,19.0,73,20.0
90.0,75,2108,15.5,74,24.0
97.0,92,2288,17.0,72,28.0
121.0,110,2600,12.8,77,21.5
156.0,92,2620,14.4,81,25.8
250.0,88,3302,15.5,71,19.0
351.0,149,4335,14.5,77,16.0
350.0,145,4082,13.0,73,15.0
141.0,80,3230,20.4,81,28.1
305.0,145,3880,12.5,77,17.5
302.0,129,3169,12.0,75,13.0
360.0,215,4615,14.0,70,10.0
135.0,84,2525,16.0,82,29.0
90.0,48,2085,21.7,80,44.3
318.0,150,4135,13.5,72,15.0
140.0,92,2572,14.9,76,25.0
98.0,76,2144,14.7,80,41.5
318.0,140,3735,13.2,78,19.4
151.0,90,2670,16.0,79,28.4
140.0,83,2639,17.0,75,23.0
340.0,160,3609,8.0,70,14.0
114.0,91,2582,14.0,73,20.0
302.0,137,4042,14.5,73,14.0
318.0,150,4077,14.0,72,14.0
250.0,110,3520,16.4,77,17.5
68.0,49,1867,19.5,73,29.0
307.0,200,4376,15.0,70,10.0
98.0,70,2125,17.3,82,36.0
350.0,165,4274,12.0,72,13.0
70.0,100,2420,12.5,80,23.7
97.0,67,1985,16.4,77,30.0
113.0,95,2228,14.0,71,25.0
260.0,110,3365,15.5,78,19.9
120.0,79,2625,18.6,82,28.0
383.0,170,3563,10.0,70,15.0
130.0,102,3150,15.7,76,20.0
318.0,150,4096,13.0,71,14.0
104.0,95,2375,17.5,70,25.0
250.0,100,3329,15.5,71,17.0
91.0,67,1965,15.0,82,38.0
105.0,63,2125,14.7,82,38.0
360.0,175,3821,11.0,73,13.0
350.0,155,4360,14.9,79,16.9
91.0,53,1795,17.5,75,33.0
85.0,65,2020,19.2,79,31.8
151.0,85,2855,17.6,78,23.8
260.0,90,3420,22.2,79,23.9
97.0,78,1940,14.5,77,29.0
97.0,78,2190,14.1,77,30.5
258.0,120,3410,15.1,78,18.1
351.0,138,3955,13.2,79,16.5
200.0,85,2990,18.2,79,19.8
134.0,96,2702,13.5,75,24.0
98.0,83,2075,15.9,77,33.5
360.0,170,4654,13.0,73,13.0
122.0,86,2226,16.5,72,21.0
122.0,80,2451,16.5,74,26.0
105.0,75,2230,14.5,78,30.9
318.0,150,3755,14.0,76,13.0
200.0,81,3012,17.6,76,24.0
232.0,90,3210,17.2,78,19.4
151.0,90,3003,20.1,80,24.3
88.0,76,2065,14.5,71,30.0
302.0,130,3870,15.0,76,13.0
318.0,150,4498,14.5,75,16.0
98.0,68,2135,16.6,78,29.5
121.0,112,2868,15.5,73,19.0
400.0,150,4997,14.0,73,11.0
400.0,175,4464,11.5,71,14.0
79.0,67,1963,15.5,74,26.0
90.0,70,1937,14.2,76,29.0
304.0,150,3892,12.5,72,15.0
97.0,67,2145,18.0,80,33.8
121.0,112,2933,14.5,72,18.0
305.0,140,4215,13.0,76,17.5
121.0,113,2234,12.5,70,26.0
250.0,100,3781,17.0,74,16.0
318.0,150,3777,12.5,73,15.0
350.0,165,4209,12.0,71,14.0
90.0,70,1937,14.0,75,29.0
134.0,95,2515,14.8,78,21.1
78.0,52,1985,19.4,78,32.8
107.0,75,2210,14.4,81,33.7
250.0,78,3574,21.0,76,18.0
173.0,115,2700,12.9,79,26.8
86.0,65,2110,17.9,80,46.6
91.0,53,1795,17.4,76,33.0
81.0,60,1760,16.1,81,35.1
151.0,84,2635,16.4,81,26.6
350.0,145,3988,13.0,73,13.0
383.0,180,4955,11.5,71,12.0
105.0,70,2150,14.9,79,34.5
199.0,90,2648,15.0,70,21.0
121.0,115,2795,15.7,78,21.6
390.0,190,3850,8.5,70,15.0
400.0,170,4668,11.5,75,16.0
89.0,62,2050,17.3,81,37.7
121.0,80,2670,15.0,79,27.4
455.0,225,3086,10.0,70,14.0
91.0,67,1995,16.2,82,38.0
225.0,90,3381,18.7,80,19.1
232.0,90,3085,17.6,76,22.5
85.0,70,1945,16.8,77,33.5
135.0,84,2385,12.9,81,30.0
140.0,88,2870,18.1,80,26.4
400.0,190,4325,12.2,77,15.5
350.0,150,4699,14.5,74,13.0
305.0,130,3840,15.4,79,17.0
267.0,125,3605,15.0,79,19.2
120.0,88,2957,17.0,75,23.0
231.0,165,3445,13.4,78,17.7
155.0,107,2472,14.0,73,21.0
302.0,140,4294,16.0,72,13.0
108.0,94,2379,16.5,73,22.0
156.0,105,2800,14.4,80,27.9
140.0,88,2890,17.3,79,22.3
318.0,150,4457,13.5,74,14.0
200.0,85,2587,16.0,70,21.0
140.0,72,2565,13.6,76,26.5
318.0,145,4140,13.7,77,15.5
121.0,115,2671,13.5,75,25.0
79.0,70,2074,19.5,71,30.0
262.0,110,3221,13.5,75,20.0
91.0,67,1850,13.8,80,44.6
304.0,150,4257,15.5,74,14.0
250.0,88,3139,14.5,71,18.0
111.0,80,2155,14.8,77,30.0
350.0,125,3900,17.4,79,23.0
200.0,95,3155,18.2,78,20.5
146.0,97,2815,14.5,77,22.0
231.0,105,3535,19.2,78,19.2
97.0,88,2130,14.5,71,27.0
400.0,167,4906,12.5,73,12.0
112.0,88,2605,19.6,82,28.0
116.0,75,2158,15.5,73,24.0
140.0,72,2408,19.0,71,22.0
400.0,180,4220,11.1,77,16.0
350.0,180,4499,12.5,73,12.0
232.0,100,3288,15.5,71,18.0
90.0,48,2335,23.7,80,43.4
318.0,135,3830,15.2,79,18.2
72.0,69,1613,18.0,71,35.0
97.0,46,1950,21.0,73,26.0
89.0,62,1845,15.3,80,29.8
140.0,75,2542,17.0,74,25.0
231.0,105,3380,15.8,78,20.6
304.0,150,3433,12.0,70,16.0
258.0,110,3632,18.0,74,16.0
258.0,110,2962,13.5,71,18.0
113.0,95,2278,15.5,72,24.0
350.0,155,4502,13.5,72,13.0
122.0,96,2300,15.5,77,25.5
258.0,110,3730,19.0,75,15.0
318.0,150,3436,11.0,70,18.0
318.0,150,3399,11.0,73,15.0
146.0,67,3250,21.8,80,30.0
250.0,72,3432,21.0,75,15.0
225.0,100,3233,15.4,76,22.0
86.0,65,2019,16.4,80,37.2
250.0,110,3645,16.2,76,18.5
455.0,225,4425,10.0,70,14.0
302.0,129,3725,13.4,79,17.6
80.0,110,2720,13.5,77,21.5
232.0,100,2901,16.0,74,19.0
232.0,100,2945,16.0,73,18.0
140.0,88,2720,15.4,78,25.1
105.0,74,1980,15.3,82,36.0
151.0,88,2740,16.0,77,24.5
400.0,190,4422,12.5,72,13.0
101.0,83,2202,15.3,76,27.0
121.0,67,2950,19.9,80,36.4
79.0,67,2000,16.0,74,31.0
225.0,105,3613,16.5,74,18.0
307.0,130,4098,14.0,72,13.0
302.0,130,4295,14.9,77,15.0
116.0,75,2246,14.0,74,26.0
258.0,95,3193,17.8,76,17.5
350.0,170,4165,11.4,77,15.5
156.0,92,2585,14.5,82,26.0
350.0,175,4100,13.0,73,13.0
231.0,110,3415,15.8,81,22.4
232.0,90,3211,17.0,75,19.0
260.0,110,4060,19.0,77,17.0
151.0,90,2556,13.2,79,33.5
302.0,139,3570,12.8,78,20.2
304.0,120,3962,13.9,76,15.5
302.0,140,4638,16.0,74,14.0
225.0,100,3651,17.7,76,20.0
140.0,78,2592,18.5,75,23.0
97.0,88,2130,14.5,70,27.0
200.0,85,3070,16.7,78,20.8
97.0,75,2155,16.4,76,28.0
112.0,88,2640,18.6,82,27.0
232.0,100,2634,13.0,71,19.0
107.0,72,2290,17.0,80,32.4
91.0,69,2130,14.7,79,37.3
225.0,105,3121,16.5,73,18.0
454.0,220,4354,9.0,70,14.0
85.0,65,1975,19.4,81,37.0
350.0,165,3693,11.5,70,15.0
307.0,130,3504,12.0,70,18.0
