@relation flare-F
@attribute LargestSpotSize {A, R, S, X, K, H}
@attribute SpotDistribution {X, O, I, C}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Prev24Hour {1, 2, 3}
@attribute HistComplex {1, 2}
@attribute BecomeHist {1, 2}
@attribute Area {1, 2}
@attribute C-class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute M-class {0, 1, 2, 3, 4, 5}
@attribute X-class {0, 1, 2}
@attribute Class {positive, negative}
@data
A, C, 1, 3, 1, 1, 2, 1, 3, 1, 0, negative
A, X, 1, 2, 1, 1, 1, 1, 1, 0, 0, negative
X, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 3, 1, 2, 2, 1, 2, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 3, 3, 2, 2, 1, 2, 0, 0, negative
S, O, 2, 3, 1, 2, 2, 1, 5, 0, 0, negative
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 4, 4, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 1, 1, 0, negative
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 3, 2, 2, 1, 6, 0, 0, negative
S, X, 1, 1, 1, 1, 1, 1, 0, 0, 0, negative
S, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 3, 2, 1, 2, 1, 1, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
K, C, 2, 3, 3, 2, 2, 2, 6, 0, 0, negative
R, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 2, 2, 1, 2, 0, 0, negative
S, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, negative
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
K, C, 2, 3, 1, 2, 2, 2, 0, 0, 0, positive
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
K, C, 2, 2, 1, 2, 2, 1, 4, 0, 0, positive
S, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, C, 2, 3, 1, 1, 2, 1, 2, 0, 0, negative
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 1, 2, 1, 2, 0, 0, negative
S, O, 1, 3, 1, 2, 2, 1, 1, 0, 0, negative
A, C, 2, 3, 1, 2, 2, 2, 2, 0, 0, positive
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 3, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 2, 1, 2, 2, 1, 2, 0, 0, positive
S, X, 1, 1, 1, 2, 2, 1, 1, 0, 0, negative
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, C, 2, 2, 1, 2, 2, 1, 1, 0, 0, positive
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, positive
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 2, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 2, 0, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
H, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
H, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 3, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, C, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, O, 1, 2, 1, 1, 2, 1, 2, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
K, C, 1, 3, 1, 2, 2, 2, 2, 1, 0, negative
R, O, 1, 3, 1, 2, 2, 2, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 1, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 1, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, C, 2, 1, 3, 2, 2, 1, 5, 0, 0, negative
A, O, 1, 1, 1, 2, 2, 1, 3, 0, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
H, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
K, C, 2, 3, 3, 2, 2, 2, 1, 0, 0, positive
A, O, 2, 2, 1, 2, 2, 1, 1, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
H, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 2, 1, 2, 2, 2, 1, 0, 0, positive
R, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 2, 0, 0, positive
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 3, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 2, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 2, 3, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 3, 1, 2, 2, 2, 3, 0, 0, positive
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, I, 1, 2, 1, 2, 2, 1, 0, 1, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 2, 3, 2, 2, 1, 0, 0, 0, positive
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, positive
R, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, negative
A, X, 2, 3, 2, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 1, 2, 1, 2, 2, 1, 0, 3, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 1, 2, 1, 2, 0, 0, negative
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 2, 3, 2, 2, 1, 1, 0, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 1, 2, 1, 2, 0, 0, negative
A, X, 1, 2, 1, 2, 2, 1, 0, 1, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 1, 0, 0, negative
R, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, negative
S, X, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 2, 3, 2, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 1, 0, negative
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 4, 0, 0, negative
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 2, 3, 1, 2, 2, 1, 1, 0, 0, negative
X, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
K, I, 2, 3, 2, 2, 2, 1, 2, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 1, 0, negative
K, I, 1, 3, 1, 2, 2, 1, 4, 0, 0, negative
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 3, 3, 1, 2, 1, 0, 1, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 3, 1, 2, 2, 1, 3, 1, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
K, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, negative
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, O, 2, 2, 2, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, negative
A, I, 2, 2, 3, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
A, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, C, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 2, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
H, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 1, 0, negative
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
A, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 1, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 2, 3, 3, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 3, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 2, 2, 1, 2, 2, 1, 4, 0, 0, negative
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, negative
A, I, 2, 3, 1, 2, 2, 1, 0, 1, 0, negative
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
A, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
A, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, negative
A, C, 2, 2, 3, 2, 2, 1, 0, 0, 0, negative
S, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
