@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@data
24.0, 92.0, 95.0, 33.0, 16.0
16.0, 166.0, 33.0, 16.0, 14.0
17.0, 95.0, 16.0, 14.0, 22.0
166.0, 14.0, 58.0, 149.0, 137.0
95.0, 22.0, 149.0, 137.0, 50.0
33.0, 58.0, 137.0, 50.0, 20.0
16.0, 149.0, 50.0, 20.0, 15.0
22.0, 50.0, 15.0, 16.0, 35.0
58.0, 20.0, 16.0, 35.0, 106.0
149.0, 15.0, 35.0, 106.0, 169.0
137.0, 16.0, 106.0, 169.0, 82.0
50.0, 35.0, 169.0, 82.0, 28.0
20.0, 106.0, 82.0, 28.0, 15.0
16.0, 82.0, 15.0, 14.0, 23.0
35.0, 28.0, 14.0, 23.0, 65.0
106.0, 15.0, 23.0, 65.0, 160.0
82.0, 23.0, 160.0, 133.0, 45.0
23.0, 45.0, 14.0, 16.0, 36.0
65.0, 18.0, 16.0, 36.0, 111.0
160.0, 14.0, 36.0, 111.0, 176.0
133.0, 16.0, 111.0, 176.0, 80.0
45.0, 36.0, 176.0, 80.0, 26.0
18.0, 111.0, 80.0, 26.0, 14.0
14.0, 176.0, 26.0, 14.0, 13.0
16.0, 80.0, 14.0, 13.0, 20.0
36.0, 26.0, 13.0, 20.0, 60.0
111.0, 14.0, 20.0, 60.0, 163.0
176.0, 13.0, 60.0, 163.0, 140.0
80.0, 20.0, 163.0, 140.0, 45.0
26.0, 60.0, 140.0, 45.0, 18.0
14.0, 163.0, 45.0, 18.0, 12.0
13.0, 140.0, 18.0, 12.0, 14.0
60.0, 18.0, 14.0, 30.0, 98.0
140.0, 14.0, 98.0, 185.0, 93.0
45.0, 30.0, 185.0, 93.0, 28.0
18.0, 98.0, 93.0, 28.0, 14.0
12.0, 185.0, 28.0, 14.0, 12.0
14.0, 93.0, 14.0, 12.0, 17.0
30.0, 28.0, 12.0, 17.0, 46.0
98.0, 14.0, 17.0, 46.0, 145.0
185.0, 12.0, 46.0, 145.0, 167.0
93.0, 17.0, 145.0, 167.0, 58.0
28.0, 46.0, 167.0, 58.0, 19.0
12.0, 167.0, 19.0, 11.0, 12.0
17.0, 58.0, 11.0, 12.0, 21.0
46.0, 19.0, 12.0, 21.0, 68.0
145.0, 11.0, 21.0, 68.0, 183.0
167.0, 12.0, 68.0, 183.0, 132.0
58.0, 21.0, 183.0, 132.0, 38.0
19.0, 68.0, 132.0, 38.0, 15.0
11.0, 183.0, 38.0, 15.0, 11.0
12.0, 132.0, 15.0, 11.0, 13.0
21.0, 38.0, 11.0, 13.0, 26.0
68.0, 15.0, 13.0, 26.0, 93.0
183.0, 11.0, 26.0, 93.0, 202.0
132.0, 13.0, 93.0, 202.0, 100.0
38.0, 26.0, 202.0, 100.0, 27.0
15.0, 93.0, 100.0, 27.0, 12.0
11.0, 202.0, 27.0, 12.0, 10.0
26.0, 27.0, 10.0, 13.0, 30.0
93.0, 12.0, 13.0, 30.0, 114.0
202.0, 10.0, 30.0, 114.0, 206.0
12.0, 114.0, 82.0, 21.0, 11.0
13.0, 82.0, 11.0, 9.0, 10.0
30.0, 21.0, 9.0, 10.0, 30.0
114.0, 11.0, 10.0, 30.0, 120.0
206.0, 9.0, 30.0, 120.0, 215.0
21.0, 30.0, 215.0, 77.0, 20.0
9.0, 215.0, 20.0, 10.0, 8.0
30.0, 20.0, 8.0, 9.0, 21.0
120.0, 10.0, 9.0, 21.0, 95.0
215.0, 8.0, 21.0, 95.0, 234.0
77.0, 9.0, 95.0, 234.0, 99.0
20.0, 21.0, 234.0, 99.0, 22.0
10.0, 95.0, 99.0, 22.0, 9.0
8.0, 234.0, 22.0, 9.0, 8.0
9.0, 99.0, 9.0, 8.0, 7.0
21.0, 22.0, 8.0, 7.0, 9.0
95.0, 9.0, 7.0, 9.0, 35.0
234.0, 8.0, 9.0, 35.0, 176.0
99.0, 7.0, 35.0, 176.0, 215.0
22.0, 9.0, 176.0, 215.0, 46.0
9.0, 35.0, 215.0, 46.0, 11.0
8.0, 176.0, 46.0, 11.0, 7.0
7.0, 215.0, 11.0, 7.0, 5.0
9.0, 46.0, 7.0, 5.0, 4.0
35.0, 11.0, 5.0, 4.0, 3.0
176.0, 7.0, 4.0, 3.0, 4.0
46.0, 4.0, 4.0, 19.0, 105.0
11.0, 3.0, 19.0, 105.0, 125.0
7.0, 4.0, 105.0, 125.0, 55.0
5.0, 19.0, 125.0, 55.0, 30.0
4.0, 105.0, 55.0, 30.0, 28.0
4.0, 55.0, 28.0, 41.0, 71.0
105.0, 28.0, 71.0, 98.0, 79.0
55.0, 71.0, 79.0, 49.0, 34.0
28.0, 79.0, 34.0, 33.0, 47.0
41.0, 49.0, 33.0, 47.0, 75.0
71.0, 34.0, 47.0, 75.0, 95.0
98.0, 33.0, 75.0, 95.0, 76.0
79.0, 47.0, 95.0, 76.0, 48.0
34.0, 95.0, 48.0, 34.0, 35.0
33.0, 76.0, 34.0, 35.0, 49.0
47.0, 48.0, 35.0, 49.0, 78.0
75.0, 34.0, 49.0, 78.0, 96.0
95.0, 35.0, 78.0, 96.0, 75.0
76.0, 49.0, 96.0, 75.0, 47.0
48.0, 78.0, 75.0, 47.0, 34.0
34.0, 96.0, 47.0, 34.0, 34.0
35.0, 75.0, 34.0, 34.0, 49.0
49.0, 47.0, 34.0, 49.0, 81.0
78.0, 34.0, 49.0, 81.0, 99.0
75.0, 49.0, 99.0, 76.0, 46.0
47.0, 81.0, 76.0, 46.0, 32.0
34.0, 99.0, 46.0, 32.0, 33.0
49.0, 46.0, 33.0, 49.0, 83.0
81.0, 32.0, 49.0, 83.0, 101.0
99.0, 33.0, 83.0, 101.0, 74.0
76.0, 49.0, 101.0, 74.0, 44.0
46.0, 83.0, 74.0, 44.0, 32.0
32.0, 101.0, 44.0, 32.0, 33.0
33.0, 74.0, 32.0, 33.0, 50.0
49.0, 44.0, 33.0, 50.0, 85.0
83.0, 32.0, 50.0, 85.0, 103.0
101.0, 33.0, 85.0, 103.0, 73.0
74.0, 50.0, 103.0, 73.0, 43.0
44.0, 85.0, 73.0, 43.0, 30.0
32.0, 103.0, 43.0, 30.0, 31.0
33.0, 73.0, 30.0, 31.0, 49.0
50.0, 43.0, 31.0, 49.0, 85.0
103.0, 31.0, 85.0, 106.0, 74.0
73.0, 49.0, 106.0, 74.0, 43.0
30.0, 106.0, 43.0, 31.0, 31.0
31.0, 74.0, 31.0, 31.0, 49.0
49.0, 43.0, 31.0, 49.0, 87.0
85.0, 31.0, 49.0, 87.0, 109.0
74.0, 49.0, 109.0, 76.0, 41.0
43.0, 87.0, 76.0, 41.0, 29.0
31.0, 109.0, 41.0, 29.0, 30.0
31.0, 76.0, 29.0, 30.0, 47.0
49.0, 41.0, 30.0, 47.0, 87.0
109.0, 30.0, 87.0, 110.0, 76.0
76.0, 47.0, 110.0, 76.0, 41.0
41.0, 87.0, 76.0, 41.0, 28.0
29.0, 110.0, 41.0, 28.0, 30.0
30.0, 76.0, 28.0, 30.0, 47.0
47.0, 41.0, 30.0, 47.0, 88.0
87.0, 28.0, 47.0, 88.0, 114.0
110.0, 30.0, 88.0, 114.0, 79.0
76.0, 47.0, 114.0, 79.0, 41.0
41.0, 88.0, 79.0, 41.0, 28.0
28.0, 114.0, 41.0, 28.0, 28.0
30.0, 79.0, 28.0, 28.0, 45.0
47.0, 41.0, 28.0, 45.0, 86.0
114.0, 28.0, 86.0, 117.0, 82.0
79.0, 45.0, 117.0, 82.0, 42.0
41.0, 86.0, 82.0, 42.0, 26.0
45.0, 42.0, 26.0, 43.0, 84.0
86.0, 26.0, 43.0, 84.0, 119.0
117.0, 26.0, 84.0, 119.0, 85.0
82.0, 43.0, 119.0, 85.0, 42.0
42.0, 84.0, 85.0, 42.0, 26.0
26.0, 119.0, 42.0, 26.0, 25.0
26.0, 85.0, 26.0, 25.0, 39.0
43.0, 42.0, 25.0, 39.0, 80.0
84.0, 26.0, 39.0, 80.0, 121.0
85.0, 39.0, 121.0, 90.0, 43.0
42.0, 80.0, 90.0, 43.0, 26.0
26.0, 121.0, 43.0, 26.0, 24.0
25.0, 90.0, 26.0, 24.0, 36.0
39.0, 43.0, 24.0, 36.0, 76.0
80.0, 26.0, 36.0, 76.0, 123.0
121.0, 24.0, 76.0, 123.0, 96.0
90.0, 36.0, 123.0, 96.0, 46.0
43.0, 76.0, 96.0, 46.0, 26.0
26.0, 123.0, 46.0, 26.0, 23.0
24.0, 96.0, 26.0, 23.0, 35.0
36.0, 46.0, 23.0, 35.0, 72.0
76.0, 26.0, 35.0, 72.0, 123.0
123.0, 23.0, 72.0, 123.0, 102.0
46.0, 72.0, 102.0, 50.0, 27.0
26.0, 123.0, 50.0, 27.0, 22.0
23.0, 102.0, 27.0, 22.0, 31.0
35.0, 50.0, 22.0, 31.0, 64.0
72.0, 27.0, 31.0, 64.0, 121.0
123.0, 22.0, 64.0, 121.0, 110.0
50.0, 64.0, 110.0, 53.0, 27.0
27.0, 121.0, 53.0, 27.0, 21.0
22.0, 110.0, 27.0, 21.0, 28.0
31.0, 53.0, 21.0, 28.0, 57.0
64.0, 27.0, 28.0, 57.0, 117.0
110.0, 28.0, 117.0, 120.0, 59.0
53.0, 57.0, 120.0, 59.0, 28.0
21.0, 120.0, 28.0, 20.0, 25.0
57.0, 28.0, 25.0, 49.0, 109.0
28.0, 109.0, 68.0, 31.0, 20.0
20.0, 128.0, 31.0, 20.0, 23.0
25.0, 68.0, 20.0, 23.0, 43.0
109.0, 20.0, 43.0, 98.0, 135.0
128.0, 23.0, 98.0, 135.0, 77.0
68.0, 43.0, 135.0, 77.0, 34.0
31.0, 98.0, 77.0, 34.0, 22.0
20.0, 135.0, 34.0, 22.0, 22.0
98.0, 22.0, 36.0, 86.0, 139.0
135.0, 22.0, 86.0, 139.0, 91.0
77.0, 36.0, 139.0, 91.0, 38.0
34.0, 86.0, 91.0, 38.0, 21.0
22.0, 139.0, 38.0, 21.0, 19.0
22.0, 91.0, 21.0, 19.0, 30.0
36.0, 38.0, 19.0, 30.0, 73.0
86.0, 21.0, 30.0, 73.0, 137.0
139.0, 19.0, 73.0, 137.0, 107.0
91.0, 30.0, 137.0, 107.0, 44.0
38.0, 73.0, 107.0, 44.0, 23.0
21.0, 137.0, 44.0, 23.0, 19.0
19.0, 107.0, 23.0, 19.0, 26.0
30.0, 44.0, 19.0, 26.0, 59.0
137.0, 19.0, 59.0, 129.0, 125.0
44.0, 59.0, 125.0, 55.0, 24.0
23.0, 129.0, 55.0, 24.0, 18.0
19.0, 125.0, 24.0, 18.0, 22.0
129.0, 18.0, 47.0, 114.0, 140.0
125.0, 22.0, 114.0, 140.0, 68.0
55.0, 47.0, 140.0, 68.0, 28.0
24.0, 114.0, 68.0, 28.0, 18.0
18.0, 140.0, 28.0, 18.0, 19.0
114.0, 18.0, 36.0, 93.0, 150.0
140.0, 19.0, 93.0, 150.0, 88.0
68.0, 36.0, 150.0, 88.0, 34.0
28.0, 93.0, 88.0, 34.0, 19.0
18.0, 150.0, 34.0, 19.0, 18.0
19.0, 88.0, 19.0, 18.0, 28.0
150.0, 18.0, 72.0, 147.0, 112.0
88.0, 28.0, 147.0, 112.0, 43.0
34.0, 72.0, 112.0, 43.0, 20.0
19.0, 147.0, 43.0, 20.0, 16.0
18.0, 112.0, 20.0, 16.0, 23.0
28.0, 43.0, 16.0, 23.0, 53.0
72.0, 20.0, 23.0, 53.0, 131.0
43.0, 53.0, 137.0, 58.0, 24.0
20.0, 131.0, 58.0, 24.0, 16.0
16.0, 137.0, 24.0, 16.0, 19.0
53.0, 24.0, 19.0, 38.0, 104.0
131.0, 16.0, 38.0, 104.0, 156.0
58.0, 38.0, 156.0, 80.0, 30.0
16.0, 156.0, 30.0, 17.0, 16.0
19.0, 80.0, 17.0, 16.0, 28.0
38.0, 30.0, 16.0, 28.0, 75.0
104.0, 17.0, 28.0, 75.0, 156.0
156.0, 16.0, 75.0, 156.0, 112.0
80.0, 28.0, 156.0, 112.0, 40.0
30.0, 75.0, 112.0, 40.0, 18.0
17.0, 156.0, 40.0, 18.0, 15.0
16.0, 112.0, 18.0, 15.0, 21.0
28.0, 40.0, 15.0, 21.0, 51.0
75.0, 18.0, 21.0, 51.0, 132.0
156.0, 15.0, 51.0, 132.0, 145.0
18.0, 132.0, 59.0, 22.0, 15.0
15.0, 145.0, 22.0, 15.0, 17.0
21.0, 59.0, 15.0, 17.0, 32.0
51.0, 22.0, 17.0, 32.0, 96.0
145.0, 17.0, 96.0, 164.0, 89.0
59.0, 32.0, 164.0, 89.0, 30.0
22.0, 96.0, 89.0, 30.0, 16.0
17.0, 89.0, 16.0, 14.0, 24.0
32.0, 30.0, 14.0, 24.0, 62.0
96.0, 16.0, 24.0, 62.0, 153.0
164.0, 14.0, 62.0, 153.0, 130.0
89.0, 24.0, 153.0, 130.0, 46.0
30.0, 62.0, 130.0, 46.0, 19.0
16.0, 153.0, 46.0, 19.0, 13.0
24.0, 46.0, 13.0, 17.0, 37.0
62.0, 19.0, 17.0, 37.0, 113.0
153.0, 13.0, 37.0, 113.0, 165.0
130.0, 17.0, 113.0, 165.0, 75.0
46.0, 37.0, 165.0, 75.0, 25.0
13.0, 165.0, 25.0, 14.0, 13.0
37.0, 25.0, 13.0, 24.0, 68.0
113.0, 14.0, 24.0, 68.0, 164.0
165.0, 13.0, 68.0, 164.0, 123.0
75.0, 24.0, 164.0, 123.0, 40.0
25.0, 68.0, 123.0, 40.0, 17.0
14.0, 164.0, 40.0, 17.0, 13.0
13.0, 123.0, 17.0, 13.0, 16.0
24.0, 40.0, 13.0, 16.0, 38.0
68.0, 17.0, 16.0, 38.0, 118.0
164.0, 13.0, 38.0, 118.0, 170.0
40.0, 38.0, 170.0, 71.0, 24.0
13.0, 170.0, 24.0, 13.0, 12.0
16.0, 71.0, 13.0, 12.0, 22.0
38.0, 24.0, 12.0, 22.0, 65.0
118.0, 13.0, 22.0, 65.0, 167.0
170.0, 12.0, 65.0, 167.0, 129.0
71.0, 22.0, 167.0, 129.0, 40.0
24.0, 65.0, 129.0, 40.0, 16.0
13.0, 167.0, 40.0, 16.0, 12.0
12.0, 129.0, 16.0, 12.0, 14.0
22.0, 40.0, 12.0, 14.0, 33.0
65.0, 16.0, 14.0, 33.0, 107.0
167.0, 12.0, 33.0, 107.0, 182.0
129.0, 14.0, 107.0, 182.0, 81.0
40.0, 33.0, 182.0, 81.0, 24.0
16.0, 107.0, 81.0, 24.0, 12.0
12.0, 182.0, 24.0, 12.0, 11.0
14.0, 81.0, 12.0, 11.0, 17.0
107.0, 12.0, 17.0, 51.0, 156.0
182.0, 11.0, 51.0, 156.0, 155.0
81.0, 17.0, 156.0, 155.0, 49.0
24.0, 51.0, 155.0, 49.0, 17.0
12.0, 156.0, 49.0, 17.0, 11.0
11.0, 155.0, 17.0, 11.0, 11.0
17.0, 49.0, 11.0, 11.0, 23.0
51.0, 17.0, 11.0, 23.0, 77.0
156.0, 11.0, 23.0, 77.0, 189.0
155.0, 11.0, 77.0, 189.0, 115.0
49.0, 23.0, 189.0, 115.0, 32.0
17.0, 77.0, 115.0, 32.0, 13.0
11.0, 189.0, 32.0, 13.0, 9.0
11.0, 115.0, 13.0, 9.0, 12.0
23.0, 32.0, 9.0, 12.0, 30.0
189.0, 9.0, 30.0, 107.0, 197.0
115.0, 12.0, 107.0, 197.0, 82.0
32.0, 30.0, 197.0, 82.0, 23.0
13.0, 107.0, 82.0, 23.0, 10.0
9.0, 197.0, 23.0, 10.0, 9.0
30.0, 23.0, 9.0, 12.0, 36.0
107.0, 10.0, 12.0, 36.0, 134.0
197.0, 9.0, 36.0, 134.0, 192.0
82.0, 12.0, 134.0, 192.0, 64.0
10.0, 134.0, 64.0, 18.0, 10.0
9.0, 192.0, 18.0, 10.0, 8.0
36.0, 18.0, 8.0, 13.0, 37.0
134.0, 10.0, 13.0, 37.0, 148.0
192.0, 8.0, 37.0, 148.0, 195.0
10.0, 148.0, 58.0, 16.0, 9.0
8.0, 195.0, 16.0, 9.0, 8.0
148.0, 9.0, 10.0, 29.0, 132.0
195.0, 8.0, 29.0, 132.0, 220.0
58.0, 10.0, 132.0, 220.0, 67.0
16.0, 29.0, 220.0, 67.0, 15.0
9.0, 132.0, 67.0, 15.0, 8.0
8.0, 220.0, 15.0, 8.0, 6.0
10.0, 67.0, 8.0, 6.0, 7.0
29.0, 15.0, 6.0, 7.0, 14.0
132.0, 8.0, 7.0, 14.0, 66.0
220.0, 6.0, 14.0, 66.0, 237.0
15.0, 14.0, 237.0, 137.0, 25.0
8.0, 66.0, 137.0, 25.0, 9.0
6.0, 237.0, 25.0, 9.0, 6.0
7.0, 137.0, 9.0, 6.0, 5.0
14.0, 25.0, 6.0, 5.0, 4.0
66.0, 9.0, 5.0, 4.0, 5.0
137.0, 5.0, 5.0, 25.0, 165.0
25.0, 4.0, 25.0, 165.0, 233.0
9.0, 5.0, 165.0, 233.0, 51.0
6.0, 25.0, 233.0, 51.0, 12.0
5.0, 165.0, 51.0, 12.0, 7.0
5.0, 51.0, 7.0, 7.0, 7.0
25.0, 12.0, 7.0, 7.0, 18.0
165.0, 7.0, 7.0, 18.0, 80.0
233.0, 7.0, 18.0, 80.0, 201.0
12.0, 18.0, 201.0, 109.0, 29.0
7.0, 80.0, 109.0, 29.0, 12.0
7.0, 201.0, 29.0, 12.0, 10.0
7.0, 109.0, 12.0, 10.0, 14.0
18.0, 29.0, 10.0, 14.0, 38.0
80.0, 12.0, 14.0, 38.0, 128.0
201.0, 10.0, 38.0, 128.0, 169.0
109.0, 14.0, 128.0, 169.0, 63.0
12.0, 128.0, 63.0, 20.0, 11.0
10.0, 169.0, 20.0, 11.0, 11.0
14.0, 63.0, 11.0, 11.0, 23.0
38.0, 20.0, 11.0, 23.0, 74.0
128.0, 11.0, 23.0, 74.0, 173.0
169.0, 11.0, 74.0, 173.0, 114.0
63.0, 23.0, 173.0, 114.0, 34.0
20.0, 74.0, 114.0, 34.0, 14.0
11.0, 114.0, 14.0, 11.0, 14.0
23.0, 34.0, 11.0, 14.0, 37.0
74.0, 14.0, 14.0, 37.0, 122.0
173.0, 11.0, 37.0, 122.0, 172.0
114.0, 14.0, 122.0, 172.0, 67.0
34.0, 37.0, 172.0, 67.0, 21.0
14.0, 122.0, 67.0, 21.0, 11.0
11.0, 172.0, 21.0, 11.0, 11.0
37.0, 21.0, 11.0, 20.0, 64.0
172.0, 11.0, 64.0, 169.0, 131.0
67.0, 20.0, 169.0, 131.0, 39.0
11.0, 169.0, 39.0, 13.0, 9.0
11.0, 131.0, 13.0, 9.0, 12.0
20.0, 39.0, 9.0, 12.0, 28.0
64.0, 13.0, 12.0, 28.0, 100.0
169.0, 9.0, 28.0, 100.0, 188.0
9.0, 188.0, 25.0, 11.0, 10.0
12.0, 88.0, 11.0, 10.0, 14.0
28.0, 25.0, 10.0, 14.0, 41.0
100.0, 11.0, 14.0, 41.0, 141.0
188.0, 10.0, 41.0, 141.0, 176.0
25.0, 41.0, 176.0, 57.0, 17.0
11.0, 141.0, 57.0, 17.0, 10.0
10.0, 176.0, 17.0, 10.0, 10.0
14.0, 57.0, 10.0, 10.0, 16.0
141.0, 10.0, 16.0, 56.0, 175.0
176.0, 10.0, 56.0, 175.0, 149.0
57.0, 16.0, 175.0, 149.0, 41.0
10.0, 175.0, 41.0, 14.0, 8.0
10.0, 149.0, 14.0, 8.0, 9.0
16.0, 41.0, 8.0, 9.0, 18.0
56.0, 14.0, 9.0, 18.0, 67.0
175.0, 8.0, 18.0, 67.0, 196.0
149.0, 9.0, 67.0, 196.0, 130.0
41.0, 18.0, 196.0, 130.0, 32.0
14.0, 67.0, 130.0, 32.0, 11.0
9.0, 130.0, 11.0, 8.0, 7.0
18.0, 32.0, 8.0, 7.0, 17.0
67.0, 11.0, 7.0, 17.0, 66.0
130.0, 7.0, 66.0, 207.0, 131.0
32.0, 17.0, 207.0, 131.0, 30.0
11.0, 66.0, 131.0, 30.0, 10.0
8.0, 207.0, 30.0, 10.0, 7.0
17.0, 30.0, 7.0, 6.0, 12.0
66.0, 10.0, 6.0, 12.0, 48.0
207.0, 7.0, 12.0, 48.0, 193.0
131.0, 6.0, 48.0, 193.0, 172.0
10.0, 48.0, 172.0, 39.0, 11.0
7.0, 193.0, 39.0, 11.0, 7.0
12.0, 39.0, 7.0, 6.0, 6.0
48.0, 11.0, 6.0, 6.0, 16.0
193.0, 7.0, 6.0, 16.0, 86.0
172.0, 6.0, 16.0, 86.0, 255.0
39.0, 6.0, 86.0, 255.0, 107.0
11.0, 16.0, 255.0, 107.0, 19.0
7.0, 86.0, 107.0, 19.0, 8.0
6.0, 255.0, 19.0, 8.0, 5.0
6.0, 107.0, 8.0, 5.0, 4.0
16.0, 19.0, 5.0, 4.0, 3.0
255.0, 5.0, 3.0, 2.0, 2.0
107.0, 4.0, 2.0, 2.0, 7.0
19.0, 3.0, 2.0, 7.0, 23.0
5.0, 2.0, 23.0, 8.0, 6.0
4.0, 7.0, 8.0, 6.0, 8.0
3.0, 23.0, 6.0, 8.0, 16.0
2.0, 8.0, 8.0, 16.0, 33.0
7.0, 8.0, 33.0, 57.0, 65.0
8.0, 33.0, 65.0, 56.0, 46.0
6.0, 57.0, 56.0, 46.0, 46.0
16.0, 56.0, 46.0, 54.0, 64.0
33.0, 46.0, 54.0, 64.0, 66.0
57.0, 46.0, 64.0, 66.0, 59.0
65.0, 54.0, 66.0, 59.0, 49.0
56.0, 64.0, 59.0, 49.0, 46.0
46.0, 66.0, 49.0, 46.0, 48.0
46.0, 59.0, 46.0, 48.0, 58.0
54.0, 49.0, 48.0, 58.0, 67.0
66.0, 48.0, 67.0, 67.0, 60.0
49.0, 67.0, 60.0, 50.0, 47.0
46.0, 67.0, 50.0, 47.0, 51.0
48.0, 60.0, 47.0, 51.0, 60.0
58.0, 50.0, 51.0, 60.0, 69.0
67.0, 47.0, 60.0, 69.0, 68.0
67.0, 51.0, 69.0, 68.0, 58.0
60.0, 60.0, 68.0, 58.0, 50.0
50.0, 69.0, 58.0, 50.0, 46.0
47.0, 68.0, 50.0, 46.0, 52.0
51.0, 58.0, 46.0, 52.0, 61.0
50.0, 71.0, 58.0, 48.0, 46.0
46.0, 68.0, 48.0, 46.0, 53.0
52.0, 58.0, 46.0, 53.0, 64.0
61.0, 48.0, 53.0, 64.0, 72.0
71.0, 46.0, 64.0, 72.0, 68.0
68.0, 53.0, 72.0, 68.0, 56.0
58.0, 64.0, 68.0, 56.0, 47.0
48.0, 72.0, 56.0, 47.0, 45.0
64.0, 47.0, 53.0, 65.0, 73.0
72.0, 45.0, 65.0, 73.0, 67.0
68.0, 53.0, 73.0, 67.0, 54.0
56.0, 65.0, 67.0, 54.0, 46.0
47.0, 73.0, 54.0, 46.0, 46.0
45.0, 67.0, 46.0, 46.0, 55.0
53.0, 54.0, 46.0, 55.0, 67.0
73.0, 46.0, 67.0, 74.0, 66.0
54.0, 67.0, 66.0, 54.0, 44.0
46.0, 74.0, 54.0, 44.0, 46.0
46.0, 66.0, 44.0, 46.0, 55.0
74.0, 46.0, 70.0, 76.0, 66.0
66.0, 55.0, 76.0, 66.0, 51.0
54.0, 70.0, 66.0, 51.0, 45.0
44.0, 76.0, 51.0, 45.0, 46.0
46.0, 66.0, 45.0, 46.0, 58.0
55.0, 51.0, 46.0, 58.0, 73.0
70.0, 45.0, 58.0, 73.0, 77.0
66.0, 58.0, 77.0, 65.0, 52.0
46.0, 65.0, 44.0, 46.0, 59.0
58.0, 52.0, 46.0, 59.0, 75.0
77.0, 46.0, 75.0, 78.0, 64.0
65.0, 59.0, 78.0, 64.0, 49.0
52.0, 75.0, 64.0, 49.0, 43.0
44.0, 78.0, 49.0, 43.0, 47.0
46.0, 64.0, 43.0, 47.0, 61.0
59.0, 49.0, 47.0, 61.0, 78.0
75.0, 43.0, 61.0, 78.0, 79.0
78.0, 47.0, 78.0, 79.0, 63.0
49.0, 78.0, 63.0, 47.0, 43.0
43.0, 79.0, 47.0, 43.0, 47.0
47.0, 63.0, 43.0, 47.0, 63.0
61.0, 47.0, 47.0, 63.0, 80.0
78.0, 43.0, 63.0, 80.0, 79.0
79.0, 47.0, 80.0, 79.0, 61.0
47.0, 80.0, 61.0, 46.0, 42.0
43.0, 79.0, 46.0, 42.0, 48.0
47.0, 61.0, 42.0, 48.0, 66.0
63.0, 46.0, 48.0, 66.0, 84.0
80.0, 42.0, 66.0, 84.0, 80.0
79.0, 48.0, 84.0, 80.0, 60.0
61.0, 66.0, 80.0, 60.0, 46.0
42.0, 80.0, 46.0, 42.0, 50.0
48.0, 60.0, 42.0, 50.0, 68.0
66.0, 46.0, 50.0, 68.0, 86.0
