@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
M, 0.635, 0.515, 0.165, 1.229, 0.5055, 0.2975, 0.3535, negative
F, 0.64, 0.515, 0.165, 1.3115, 0.4945, 0.2555, 0.41, negative
I, 0.64, 0.49, 0.135, 1.1, 0.488, 0.2505, 0.2925, negative
I, 0.65, 0.52, 0.15, 1.238, 0.5495, 0.296, 0.3305, negative
F, 0.66, 0.535, 0.205, 1.4415, 0.5925, 0.2775, 0.49, negative
F, 0.665, 0.5, 0.15, 1.2475, 0.4625, 0.2955, 0.3595, negative
M, 0.68, 0.54, 0.155, 1.534, 0.671, 0.379, 0.384, negative
M, 0.685, 0.535, 0.155, 1.3845, 0.6615, 0.2145, 0.4075, negative
F, 0.705, 0.535, 0.22, 1.866, 0.929, 0.3835, 0.4395, negative
M, 0.47, 0.365, 0.135, 0.522, 0.2395, 0.1525, 0.145, negative
I, 0.47, 0.375, 0.105, 0.441, 0.167, 0.0865, 0.145, negative
M, 0.505, 0.385, 0.115, 0.4825, 0.21, 0.1035, 0.1535, negative
F, 0.55, 0.47, 0.15, 0.9205, 0.381, 0.2435, 0.2675, negative
F, 0.57, 0.435, 0.15, 0.8295, 0.3875, 0.156, 0.245, negative
M, 0.59, 0.465, 0.165, 1.115, 0.5165, 0.273, 0.275, negative
M, 0.61, 0.49, 0.16, 1.112, 0.465, 0.228, 0.341, negative
F, 0.54, 0.385, 0.14, 0.7655, 0.3265, 0.116, 0.2365, negative
F, 0.6, 0.47, 0.19, 1.1345, 0.492, 0.2595, 0.3375, negative
F, 0.665, 0.525, 0.21, 1.644, 0.818, 0.3395, 0.4275, negative
F, 0.71, 0.5, 0.15, 1.3165, 0.6835, 0.2815, 0.28, negative
F, 0.73, 0.555, 0.18, 1.6895, 0.6555, 0.1965, 0.4935, negative
F, 0.4, 0.31, 0.115, 0.3465, 0.1475, 0.0695, 0.115, negative
I, 0.37, 0.29, 0.1, 0.25, 0.1025, 0.0505, 0.085, negative
M, 0.585, 0.48, 0.185, 1.04, 0.434, 0.265, 0.285, negative
